,title,year,certificate,runtime,genre,rating
0,Freddy,2022,UA 16+,124 min,"Drama, Mystery, Thriller            ",7.9
1,An Action Hero,2022,U,130 min,Action            ,8.1
2,Kantara,2022,UA,148 min,"Action, Adventure, Drama            ",8.7
3,Khakee: The Bihar Chapter,2022–,UA 13+,45 min,"Action, Crime, Drama            ",8.3
4,Drishyam 2,2022,UA,140 min,"Crime, Drama, Mystery            ",8.6
5,Qala,2022,UA 16+,119 min,"Drama, History, Music            ",7.2
6,Bhediya,2022,UA,156 min,"Comedy, Horror, Thriller            ",7.7
7,Goodbye,I 2022,U,130 min,"Comedy, Drama, Family            ",7.3
8,RRR (Rise Roar Revolt),2022,UA,187 min,"Action, Drama            ",8.0
9,India Lockdown,2022,UA,117 min,Drama            ,8.7
10,Office Christmas Party,2016,R,105 min,Comedy            ,5.9
11,Chup,2022,A,135 min,"Drama, Romance, Thriller            ",7.9
12,Sita Ramam,2022,U,163 min,"Action, Drama, Mystery            ",8.6
13,Brahmastra Part One: Shiva,2022,UA,167 min,"Action, Adventure, Fantasy            ",5.6
14,1917,2019,R,119 min,"Action, Drama, War            ",8.2
15,Nazar Andaaz,I 2022,U,103 min,Comedy            ,7.4
16,Love Today,2022,UA,154 min,"Comedy, Drama, Romance            ",8.3
17,College Romance,2018–,16+,30 min,"Comedy, Drama, Romance            ",8.4
18,Monica O My Darling,2022,UA 16+,129 min,"Comedy, Crime, Drama            ",7.5
19,Ready Player One,2018,UA,140 min,"Action, Adventure, Sci-Fi            ",7.4
20,Mirzapur,2018–,18,60 min,"Action, Crime, Drama            ",8.5
21,Salaam Venky,2022,U,137 min,Drama            ,8.0
22,Blurr,2022,A,127 min,"Drama, Thriller            ",4.8
23,Ponniyin Selvan: I,2022,UA,167 min,"Action, Drama, Family            ",7.9
24,Yashoda,2022,UA,135 min,"Action, Sci-Fi, Thriller            ",7.7
25,DAMaN,2022,UA,121 min,"Adventure, Biography, Drama            ",9.3
26,Dhokha: Round D Corner,2022,A,122 min,"Crime, Thriller            ",6.8
27,Godfather,2022,UA,157 min,"Action, Crime, Drama            ",5.4
28,The Help,2011,UA,146 min,Drama            ,8.1
